period_type,universe,investor,code,name,sell_volume,buy_volume,net_volume,sell_value,buy_value,net_value,source
weekly,KOSPI200,foreign,402340,SK스퀘어,1096578,1162159,65581,1123726367300,1195779720300,72053353000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,078930,GS,629162,1127559,498397,71592016700,128568995450,56976978750,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,011070,LG이노텍,293575,389473,95898,152499453500,202400204000,49900750500,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,079550,LIG디펜스앤에어로스페이스,159867,212649,52782,111261697500,150239870500,38978173000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,062040,산일전기,416313,586438,170125,82237292250,116899967650,34662675400,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,316140,우리금융지주,10307497,11095041,787544,373219410450,401700210950,28480800500,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,010120,LS ELECTRIC,835098,954097,118999,168368242700,195276603700,26908361000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,042700,한미반도체,959073,1068594,109521,216500373500,243361877500,26861504000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,066570,LG전자,1192077,1298651,106574,237177230300,258852897750,21675667450,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,010060,OCI홀딩스,140723,231214,90491,28832424750,47200789550,18368364800,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,033780,KT&G,670138,775207,105069,115165513536,133320430386,18154916850,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,004170,신세계,202505,249105,46600,74142073452,90886396952,16744323500,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,001440,대한전선,2894524,3335834,441310,86475490025,101260286325,14784796300,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,096770,SK이노베이션,1015211,1119246,104035,140986108850,155224651700,14238542850,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,010950,S-Oil,770747,854549,83802,114887039800,127379530750,12492490950,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,064400,LG씨엔에스,406119,560401,154282,28563979300,39515661450,10951682150,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,018260,삼성에스디에스,348254,385692,37438,76221122000,84517746500,8296624500,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,298040,효성중공업,87857,89783,1926,247003222000,255145712000,8142490000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,002380,KCC,82981,100096,17115,38886316000,46984917000,8098601000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,071050,한국금융지주,403840,445121,41281,75122593350,83123681450,8001088100,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,001450,현대해상,1905450,2059112,153662,93391812100,100964201550,7572389450,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,003490,대한항공,3273487,3525379,251892,95810415425,103062324575,7251909150,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,000880,한화,394619,442595,47976,53922991450,60777842300,6854850850,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,280360,롯데웰푸드,31333,75668,44335,4131713100,10029797650,5898084550,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,009420,한올바이오파마,281829,383992,102163,13645874375,18615901850,4970027475,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,039490,키움증권,167516,183619,16103,44774061750,49174419000,4400357250,KRX MDCSTAT02401_OUT
