period_type,universe,investor,direction,rank,code,name,net_value
weekly,KOSPI200,foreign,buy,1,402340,SK스퀘어,72053353000
weekly,KOSPI200,foreign,buy,2,078930,GS,56976978750
weekly,KOSPI200,foreign,buy,3,011070,LG이노텍,49900750500
weekly,KOSPI200,foreign,buy,4,079550,LIG디펜스앤에어로스페이스,38978173000
weekly,KOSPI200,foreign,buy,5,062040,산일전기,34662675400
weekly,KOSPI200,foreign,buy,6,316140,우리금융지주,28480800500
weekly,KOSPI200,foreign,buy,7,010120,LS ELECTRIC,26908361000
weekly,KOSPI200,foreign,buy,8,042700,한미반도체,26861504000
weekly,KOSPI200,foreign,buy,9,066570,LG전자,21675667450
weekly,KOSPI200,foreign,buy,10,010060,OCI홀딩스,18368364800
weekly,KOSPI200,foreign,buy,11,033780,KT&G,18154916850
weekly,KOSPI200,foreign,buy,12,004170,신세계,16744323500
weekly,KOSPI200,foreign,buy,13,001440,대한전선,14784796300
weekly,KOSPI200,foreign,buy,14,096770,SK이노베이션,14238542850
weekly,KOSPI200,foreign,buy,15,010950,S-Oil,12492490950
weekly,KOSPI200,foreign,sell,1,000660,SK하이닉스,-3423672689000
weekly,KOSPI200,foreign,sell,2,005930,삼성전자,-2605675931500
weekly,KOSPI200,foreign,sell,3,251270,넷마블,-373839229760
weekly,KOSPI200,foreign,sell,4,000150,두산,-232485446000
weekly,KOSPI200,foreign,sell,5,034020,두산에너빌리티,-199730607200
weekly,KOSPI200,foreign,sell,6,105560,KB금융,-115044988600
weekly,KOSPI200,foreign,sell,7,000990,DB하이텍,-100550501800
weekly,KOSPI200,foreign,sell,8,128940,한미약품,-68802344750
weekly,KOSPI200,foreign,sell,9,035420,NAVER,-68462994250
weekly,KOSPI200,foreign,sell,10,015760,한국전력,-52899800825
weekly,KOSPI200,foreign,sell,11,055550,신한지주,-52217468150
weekly,KOSPI200,foreign,sell,12,267260,HD현대일렉트릭,-50375304500
weekly,KOSPI200,foreign,sell,13,007660,이수페타시스,-49972899900
weekly,KOSPI200,foreign,sell,14,267250,HD현대,-45550838750
weekly,KOSPI200,foreign,sell,15,010140,삼성중공업,-44596313800
weekly,KOSPI200,institution,buy,1,005930,삼성전자,151734160250
weekly,KOSPI200,institution,buy,2,128940,한미약품,124875145750
weekly,KOSPI200,institution,buy,3,105560,KB금융,113247047000
weekly,KOSPI200,institution,buy,4,009150,삼성전기,96859572500
weekly,KOSPI200,institution,buy,5,000150,두산,92718047000
weekly,KOSPI200,institution,buy,6,373220,LG에너지솔루션,76402417250
weekly,KOSPI200,institution,buy,7,028050,삼성E&A,64181438850
weekly,KOSPI200,institution,buy,8,055550,신한지주,54369437950
