period_type,direction,rank,universe,code,name,start_date,end_date,start_open,end_close,return_pct
weekly,up,1,KOSPI200,000990,DB하이텍,2026-09-14,2026-09-18,107300.0,125900.0,17.33457595526562
weekly,up,2,KOSPI200,272210,한화시스템,2026-09-14,2026-09-18,70100.0,79900.0,13.980028530670463
weekly,up,3,KOSPI200,128940,한미약품,2026-09-14,2026-09-18,454000.0,505000.0,11.233480176211463
weekly,up,4,KOSPI200,001430,세아베스틸지주,2026-09-14,2026-09-18,40650.0,45150.0,11.070110701107016
weekly,up,5,KOSPI200,093370,후성,2026-09-14,2026-09-18,13130.0,14570.0,10.967250571210974
weekly,up,6,KOSPI200,000150,두산,2026-09-14,2026-09-18,1307000.0,1449000.0,10.864575363427686
weekly,up,7,KOSPI200,001440,대한전선,2026-09-14,2026-09-18,28700.0,31650.0,10.278745644599297
weekly,up,8,KOSPI200,079550,LIG디펜스앤에어로스페이스,2026-09-14,2026-09-18,670000.0,737000.0,10.000000000000009
weekly,up,9,KOSPI200,014680,한솔케미칼,2026-09-14,2026-09-18,195900.0,215000.0,9.749872383869329
weekly,up,10,KOSPI200,004020,현대제철,2026-09-14,2026-09-18,32750.0,35850.0,9.465648854961838
weekly,up,11,KOSPI200,062040,산일전기,2026-09-14,2026-09-18,194000.0,211000.0,8.762886597938135
weekly,up,12,KOSPI200,007340,DN오토모티브,2026-09-14,2026-09-18,45700.0,49600.0,8.533916849015322
weekly,up,13,KOSPI200,000660,SK하이닉스,2026-09-14,2026-09-18,1707000.0,1849000.0,8.318687756297605
weekly,up,14,KOSPI200,483650,달바글로벌,2026-09-14,2026-09-18,169500.0,182100.0,7.4336283185840735
weekly,up,15,KOSPI200,021240,코웨이,2026-09-14,2026-09-18,94800.0,101500.0,7.067510548523215
weekly,down,1,KOSPI200,267250,HD현대,2026-09-14,2026-09-18,244500.0,212000.0,-13.292433537832316
weekly,down,2,KOSPI200,377300,카카오페이,2026-09-14,2026-09-18,45450.0,40250.0,-11.44114411441144
weekly,down,3,KOSPI200,280360,롯데웰푸드,2026-09-14,2026-09-18,141900.0,127100.0,-10.429880197322062
weekly,down,4,KOSPI200,052690,한전기술,2026-09-14,2026-09-18,149000.0,134600.0,-9.664429530201346
weekly,down,5,KOSPI200,030000,제일기획,2026-09-14,2026-09-18,18810.0,17430.0,-7.336523125996807
weekly,down,6,KOSPI200,066970,엘앤에프,2026-09-14,2026-09-18,119000.0,110500.0,-7.14285714285714
weekly,down,7,KOSPI200,039490,키움증권,2026-09-14,2026-09-18,278500.0,261500.0,-6.104129263913826
weekly,down,8,KOSPI200,009540,HD한국조선해양,2026-09-14,2026-09-18,360500.0,340000.0,-5.68654646324549
weekly,down,9,KOSPI200,007070,GS리테일,2026-09-14,2026-09-18,24800.0,23400.0,-5.645161290322576
