period_type,direction,rank,universe,code,name,start_date,end_date,start_open,end_close,return_pct
weekly,down,10,KOSPI200,012330,현대모비스,2026-09-14,2026-09-18,403000.0,380500.0,-5.583126550868489
weekly,down,11,KOSPI200,000720,현대건설,2026-09-14,2026-09-18,133000.0,125600.0,-5.563909774436093
weekly,down,12,KOSPI200,015760,한국전력,2026-09-14,2026-09-18,32650.0,30900.0,-5.359877488514552
weekly,down,13,KOSPI200,032830,삼성생명,2026-09-14,2026-09-18,299000.0,283500.0,-5.1839464882943105
weekly,down,14,KOSPI200,010060,OCI홀딩스,2026-09-14,2026-09-18,214500.0,203500.0,-5.128205128205132
weekly,down,15,KOSPI200,010060,OCI,2026-09-14,2026-09-18,214500.0,203500.0,-5.128205128205132
weekly,up,1,KOSDAQ150,043260,성호전자,2026-09-14,2026-09-18,16640.0,26400.0,58.653846153846146
weekly,up,2,KOSDAQ150,036540,SFA반도체,2026-09-14,2026-09-18,6850.0,8990.0,31.24087591240876
weekly,up,3,KOSDAQ150,218410,RFHIC,2026-09-14,2026-09-18,47100.0,61300.0,30.14861995753715
weekly,up,4,KOSDAQ150,032500,케이엠더블유,2026-09-14,2026-09-18,15190.0,19650.0,29.361421988150106
weekly,up,5,KOSDAQ150,437730,삼현,2026-09-14,2026-09-18,39900.0,51000.0,27.819548872180455
weekly,up,6,KOSDAQ150,417200,LS머트리얼즈,2026-09-14,2026-09-18,11120.0,13730.0,23.47122302158273
weekly,up,7,KOSDAQ150,420770,기가비스,2026-09-14,2026-09-18,91100.0,112100.0,23.0515916575192
weekly,up,8,KOSDAQ150,295310,에이치브이엠,2026-09-14,2026-09-18,49750.0,60400.0,21.407035175879408
weekly,up,9,KOSDAQ150,030530,원익홀딩스,2026-09-14,2026-09-18,21750.0,26300.0,20.919540229885047
weekly,up,10,KOSDAQ150,183300,코미코,2026-09-14,2026-09-18,26250.0,30850.0,17.52380952380952
weekly,up,11,KOSDAQ150,089970,브이엠,2026-09-14,2026-09-18,47150.0,55100.0,16.861081654294807
weekly,up,12,KOSDAQ150,056190,에스에프에이,2026-09-14,2026-09-18,24250.0,28150.0,16.082474226804134
weekly,up,13,KOSDAQ150,358570,지아이이노베이션,2026-09-14,2026-09-18,8210.0,9450.0,15.103532277710109
weekly,up,14,KOSDAQ150,067310,하나마이크론,2026-09-14,2026-09-18,33500.0,38550.0,15.074626865671647
weekly,up,15,KOSDAQ150,050890,쏠리드,2026-09-14,2026-09-18,8480.0,9740.0,14.85849056603774
weekly,down,1,KOSDAQ150,475830,오름테라퓨틱,2026-09-14,2026-09-18,49400.0,37400.0,-24.2914979757085
weekly,down,2,KOSDAQ150,298380,에이비엘바이오,2026-09-14,2026-09-18,65300.0,56200.0,-13.935681470137828
weekly,down,3,KOSDAQ150,112040,위메이드,2026-09-14,2026-09-18,16380.0,14990.0,-8.48595848595849
weekly,down,4,KOSDAQ150,257720,실리콘투,2026-09-14,2026-09-18,44300.0,41300.0,-6.772009029345371
weekly,down,5,KOSDAQ150,310210,보로노이,2026-09-14,2026-09-18,142300.0,132800.0,-6.676036542515806
weekly,down,6,KOSDAQ150,060250,NHN KCP,2026-09-14,2026-09-18,14190.0,13250.0,-6.62438336856942
weekly,down,7,KOSDAQ150,083650,비에이치아이,2026-09-14,2026-09-18,68400.0,64100.0,-6.28654970760234
weekly,down,8,KOSDAQ150,145020,휴젤,2026-09-14,2026-09-18,228500.0,215000.0,-5.908096280087527
weekly,down,9,KOSDAQ150,014620,성광벤드,2026-09-14,2026-09-18,34000.0,32300.0,-5.000000000000004
weekly,down,10,KOSDAQ150,348370,엔켐,2026-09-14,2026-09-18,21350.0,20350.0,-4.683840749414525
weekly,down,11,KOSDAQ150,214450,파마리서치,2026-09-14,2026-09-18,340500.0,327000.0,-3.964757709251099
weekly,down,12,KOSDAQ150,347850,디앤디파마텍,2026-09-14,2026-09-18,46850.0,45000.0,-3.9487726787620026
weekly,down,13,KOSDAQ150,178320,서진시스템,2026-09-14,2026-09-18,35400.0,34050.0,-3.8135593220338992
weekly,down,14,KOSDAQ150,213420,덕산네오룩스,2026-09-14,2026-09-18,30450.0,29450.0,-3.284072249589487
weekly,down,15,KOSDAQ150,445680,큐리옥스바이오시스템즈,2026-09-14,2026-09-18,47550.0,46000.0,-3.259726603575186
recent2,up,1,KOSPI200,272210,한화시스템,2026-09-17,2026-09-18,69500.0,79900.0,14.964028776978422
recent2,up,2,KOSPI200,001440,대한전선,2026-09-17,2026-09-18,28150.0,31650.0,12.433392539964473
recent2,up,3,KOSPI200,483650,달바글로벌,2026-09-17,2026-09-18,165300.0,182100.0,10.163339382940118
recent2,up,4,KOSPI200,079550,LIG디펜스앤에어로스페이스,2026-09-17,2026-09-18,673000.0,737000.0,9.509658246656771
recent2,up,5,KOSPI200,007340,DN오토모티브,2026-09-17,2026-09-18,46350.0,49600.0,7.011866235167208
recent2,up,6,KOSPI200,071970,HD현대마린엔진,2026-09-17,2026-09-18,49200.0,52100.0,5.894308943089421
recent2,up,7,KOSPI200,006260,LS,2026-09-17,2026-09-18,307500.0,324000.0,5.36585365853659
recent2,up,8,KOSPI200,402340,SK스퀘어,2026-09-17,2026-09-18,1021000.0,1072000.0,4.995102840352605
recent2,up,9,KOSPI200,062040,산일전기,2026-09-17,2026-09-18,201000.0,211000.0,4.975124378109452
recent2,up,10,KOSPI200,120110,코오롱인더,2026-09-17,2026-09-18,55000.0,57600.0,4.7272727272727355
recent2,up,11,KOSPI200,000660,SK하이닉스,2026-09-17,2026-09-18,1770000.0,1849000.0,4.463276836158192
recent2,up,12,KOSPI200,010950,S-Oil,2026-09-17,2026-09-18,143600.0,149700.0,4.247910863509752
recent2,up,13,KOSPI200,278470,에이피알,2026-09-17,2026-09-18,353500.0,368000.0,4.101838755304099
recent2,up,14,KOSPI200,082740,한화엔진,2026-09-17,2026-09-18,49700.0,51600.0,3.822937625754519
recent2,up,15,KOSPI200,161390,한국타이어앤테크놀로지,2026-09-17,2026-09-18,58500.0,60700.0,3.7606837606837695
recent2,down,1,KOSPI200,007660,이수페타시스,2026-09-17,2026-09-18,114000.0,102400.0,-10.175438596491226
recent2,down,2,KOSPI200,021240,코웨이,2026-09-17,2026-09-18,108400.0,101500.0,-6.365313653136528
recent2,down,3,KOSPI200,285130,SK케미칼,2026-09-17,2026-09-18,54500.0,51200.0,-6.055045871559628
recent2,down,4,KOSPI200,175330,JB금융지주,2026-09-17,2026-09-18,33000.0,31050.0,-5.909090909090908
recent2,down,5,KOSPI200,008930,한미사이언스,2026-09-17,2026-09-18,51500.0,48900.0,-5.048543689320384
recent2,down,6,KOSPI200,023530,롯데쇼핑,2026-09-17,2026-09-18,118700.0,114100.0,-3.875315922493683
recent2,down,7,KOSPI200,000990,DB하이텍,2026-09-17,2026-09-18,130900.0,125900.0,-3.819709702062646
recent2,down,8,KOSPI200,280360,롯데웰푸드,2026-09-17,2026-09-18,131900.0,127100.0,-3.6391205458680798
recent2,down,9,KOSPI200,267250,HD현대,2026-09-17,2026-09-18,220000.0,212000.0,-3.6363636363636376
recent2,down,10,KOSPI200,161890,한국콜마,2026-09-17,2026-09-18,150800.0,145500.0,-3.5145888594164454
recent2,down,11,KOSPI200,051900,LG생활건강,2026-09-17,2026-09-18,304000.0,293500.0,-3.453947368421051
recent2,down,12,KOSPI200,039490,키움증권,2026-09-17,2026-09-18,270500.0,261500.0,-3.3271719038816983
recent2,down,13,KOSPI200,032640,LG유플러스,2026-09-17,2026-09-18,14670.0,14190.0,-3.271983640081799
recent2,down,14,KOSPI200,071050,한국금융지주,2026-09-17,2026-09-18,188900.0,183000.0,-3.123345685547907
recent2,down,15,KOSPI200,282330,BGF리테일,2026-09-17,2026-09-18,142000.0,137600.0,-3.0985915492957705
recent2,up,1,KOSDAQ150,043260,성호전자,2026-09-17,2026-09-18,19260.0,26400.0,37.07165109034267
recent2,up,2,KOSDAQ150,218410,RFHIC,2026-09-17,2026-09-18,53700.0,61300.0,14.152700186219747
recent2,up,3,KOSDAQ150,183300,코미코,2026-09-17,2026-09-18,28100.0,30850.0,9.786476868327409
recent2,up,4,KOSDAQ150,295310,에이치브이엠,2026-09-17,2026-09-18,55300.0,60400.0,9.22242314647379
recent2,up,5,KOSDAQ150,131970,두산테스나,2026-09-17,2026-09-18,79200.0,86300.0,8.964646464646474
recent2,up,6,KOSDAQ150,056080,유진로봇,2026-09-17,2026-09-18,11620.0,12640.0,8.777969018932886
recent2,up,7,KOSDAQ150,125490,한라캐스트,2026-09-17,2026-09-18,11020.0,11930.0,8.257713248638844
recent2,up,8,KOSDAQ150,032820,우리기술,2026-09-17,2026-09-18,12920.0,13970.0,8.12693498452013
recent2,up,9,KOSDAQ150,417200,LS머트리얼즈,2026-09-17,2026-09-18,12750.0,13730.0,7.686274509803925
recent2,up,10,KOSDAQ150,067310,하나마이크론,2026-09-17,2026-09-18,35850.0,38550.0,7.531380753138084
recent2,up,11,KOSDAQ150,124500,아이티센글로벌,2026-09-17,2026-09-18,28200.0,30200.0,7.092198581560294
recent2,up,12,KOSDAQ150,319400,현대무벡스,2026-09-17,2026-09-18,21400.0,22850.0,6.775700934579443
recent2,up,13,KOSDAQ150,039200,오스코텍,2026-09-17,2026-09-18,34700.0,37050.0,6.7723342939481235
recent2,up,14,KOSDAQ150,032500,케이엠더블유,2026-09-17,2026-09-18,18430.0,19650.0,6.619641888225725
recent2,up,15,KOSDAQ150,041190,우리기술투자,2026-09-17,2026-09-18,5220.0,5560.0,6.513409961685834
recent2,down,1,KOSDAQ150,475830,오름테라퓨틱,2026-09-17,2026-09-18,51700.0,37400.0,-27.6595744680851
recent2,down,2,KOSDAQ150,310210,보로노이,2026-09-17,2026-09-18,147300.0,132800.0,-9.843856076035307
recent2,down,3,KOSDAQ150,041510,에스엠,2026-09-17,2026-09-18,88400.0,81600.0,-7.692307692307687
recent2,down,4,KOSDAQ150,145020,휴젤,2026-09-17,2026-09-18,231500.0,215000.0,-7.127429805615549
recent2,down,5,KOSDAQ150,178320,서진시스템,2026-09-17,2026-09-18,36450.0,34050.0,-6.584362139917699
recent2,down,6,KOSDAQ150,028300,HLB,2026-09-17,2026-09-18,32050.0,30050.0,-6.240249609984394
recent2,down,7,KOSDAQ150,0009K0,에임드바이오,2026-09-17,2026-09-18,22950.0,21650.0,-5.664488017429193
recent2,down,8,KOSDAQ150,101730,위메이드맥스,2026-09-17,2026-09-18,4885.0,4625.0,-5.322415557830096
recent2,down,9,KOSDAQ150,161580,필옵틱스,2026-09-17,2026-09-18,33250.0,31500.0,-5.263157894736848
recent2,down,10,KOSDAQ150,035760,CJ ENM,2026-09-17,2026-09-18,38600.0,36600.0,-5.181347150259064
recent2,down,11,KOSDAQ150,213420,덕산네오룩스,2026-09-17,2026-09-18,31000.0,29450.0,-5.000000000000004
recent2,down,12,KOSDAQ150,225570,넥슨게임즈,2026-09-17,2026-09-18,11680.0,11180.0,-4.28082191780822
recent2,down,13,KOSDAQ150,241710,코스메카코리아,2026-09-17,2026-09-18,137800.0,132100.0,-4.136429608127723
recent2,down,14,KOSDAQ150,039030,이오테크닉스,2026-09-17,2026-09-18,472000.0,452500.0,-4.131355932203384
recent2,down,15,KOSDAQ150,031980,피에스케이,2026-09-17,2026-09-18,166700.0,159900.0,-4.079184163167371
