period_type,direction,rank,universe,code,name,start_date,end_date,start_open,end_close,return_pct
weekly,up,1,KOSPI200,007660,이수페타시스,2026-09-21,2026-09-23,105000.0,119200.0,13.523809523809515
weekly,up,2,KOSPI200,014680,한솔케미칼,2026-09-21,2026-09-23,214000.0,238000.0,11.214953271028039
weekly,up,3,KOSPI200,034730,SK,2026-09-21,2026-09-23,557000.0,607000.0,8.976660682226223
weekly,up,4,KOSPI200,402340,SK스퀘어,2026-09-21,2026-09-23,1087000.0,1181000.0,8.647654093836255
weekly,up,5,KOSPI200,005930,삼성전자,2026-09-21,2026-09-23,264000.0,286500.0,8.52272727272727
weekly,up,6,KOSPI200,008930,한미사이언스,2026-09-21,2026-09-23,48550.0,52500.0,8.135942327497435
weekly,up,7,KOSPI200,003490,대한항공,2026-09-21,2026-09-23,29150.0,31500.0,8.06174957118353
weekly,up,8,KOSPI200,016360,삼성증권,2026-09-21,2026-09-23,85600.0,91300.0,6.658878504672905
weekly,up,9,KOSPI200,361610,SK아이이테크놀로지,2026-09-21,2026-09-23,16130.0,17190.0,6.571605703657779
weekly,up,10,KOSPI200,066570,LG전자,2026-09-21,2026-09-23,199600.0,210500.0,5.460921843687383
weekly,up,11,KOSPI200,000990,DB하이텍,2026-09-21,2026-09-23,125200.0,131700.0,5.191693290734833
weekly,up,12,KOSPI200,009150,삼성전기,2026-09-21,2026-09-23,1432000.0,1501000.0,4.8184357541899425
weekly,up,13,KOSPI200,010950,S-Oil,2026-09-21,2026-09-23,149700.0,156500.0,4.542418169672668
weekly,up,14,KOSPI200,096770,SK이노베이션,2026-09-21,2026-09-23,142400.0,148700.0,4.424157303370779
weekly,up,15,KOSPI200,028260,삼성물산,2026-09-21,2026-09-23,353000.0,368500.0,4.39093484419264
weekly,down,1,KOSPI200,272210,한화시스템,2026-09-21,2026-09-23,82900.0,74400.0,-10.253317249698435
weekly,down,2,KOSPI200,004020,현대제철,2026-09-21,2026-09-23,35650.0,32000.0,-10.238429172510521
weekly,down,3,KOSPI200,000670,영풍,2026-09-21,2026-09-23,47600.0,43200.0,-9.243697478991598
weekly,down,4,KOSPI200,079550,LIG디펜스앤에어로스페이스,2026-09-21,2026-09-23,765000.0,699000.0,-8.62745098039216
weekly,down,5,KOSPI200,006650,대한유화,2026-09-21,2026-09-23,100000.0,91400.0,-8.599999999999996
weekly,down,6,KOSPI200,267270,HD건설기계,2026-09-21,2026-09-23,141900.0,130900.0,-7.751937984496127
weekly,down,7,KOSPI200,073240,금호타이어,2026-09-21,2026-09-23,7080.0,6540.0,-7.6271186440677985
weekly,down,8,KOSPI200,023530,롯데쇼핑,2026-09-21,2026-09-23,113300.0,104700.0,-7.590467784642541
weekly,down,9,KOSPI200,012450,한화에어로스페이스,2026-09-21,2026-09-23,1112000.0,1031000.0,-7.284172661870503
weekly,down,10,KOSPI200,047040,대우건설,2026-09-21,2026-09-23,19050.0,17700.0,-7.0866141732283445
