period_type,universe,investor,code,name,sell_volume,buy_volume,net_volume,sell_value,buy_value,net_value,source
daily,KOSPI200,foreign,005930,삼성전자,,,4534712,,,1289255176000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,402340,SK스퀘어,,,31756,,,37851587000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,096770,SK이노베이션,,,228593,,,34044767000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,003230,삼양식품,,,15064,,,18217385000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,042700,한미반도체,,,55655,,,13461377000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,024110,기업은행,,,644740,,,13357179000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,078930,GS,,,111735,,,12236010000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,006400,삼성SDI,,,23172,,,11951466000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,007660,이수페타시스,,,98077,,,11688329000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,010950,S-Oil,,,68906,,,10813780000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,161890,한국콜마,,,72387,,,10703346000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,017670,SK텔레콤,,,111191,,,9710439000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,138930,BNK금융지주,,,555858,,,9034471000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,000990,DB하이텍,,,67627,,,8787637000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,483650,달바글로벌,,,42492,,,7861042000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,093370,후성,,,524258,,,7653333000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,028260,삼성물산,,,20017,,,7494989000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,278470,에이피알,,,18175,,,6698105000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,016360,삼성증권,,,63319,,,5837100000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,001450,현대해상,,,105319,,,5003024000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,192820,코스맥스,,,18361,,,4981741000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,000660,SK하이닉스,,,-635962,,,-1178850331000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,034020,두산에너빌리티,,,-1574673,,,-129426048000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,009150,삼성전기,,,-54417,,,-81541254000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,047040,대우건설,,,-3588653,,,-63784665000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,035420,NAVER,,,-317467,,,-62407587000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,005380,현대차,,,-141225,,,-50387065000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,001440,대한전선,,,-1004206,,,-31345322000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,012450,한화에어로스페이스,,,-28992,,,-29854511000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,042660,한화오션,,,-365638,,,-29298433000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,055550,신한지주,,,-258446,,,-28602965000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,028050,삼성E&A,,,-577842,,,-28494783000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,066570,LG전자,,,-132554,,,-27854534000,Daum finance investor_purchase (2026-09-23~2026-09-23)
daily,KOSPI200,foreign,000720,현대건설,,,-219533,,,-27439532000,Daum finance investor_purchase (2026-09-23~2026-09-23)
