period_type,universe,investor,direction,rank,code,name,net_value
weekly,KOSPI200,foreign,buy,1,005930,삼성전자,1116052815750
weekly,KOSPI200,foreign,buy,2,402340,SK스퀘어,121877275000
weekly,KOSPI200,foreign,buy,3,007660,이수페타시스,39676131800
weekly,KOSPI200,foreign,buy,4,035420,NAVER,18430727000
weekly,KOSPI200,foreign,buy,5,066570,LG전자,18131563250
weekly,KOSPI200,foreign,buy,6,329180,HD현대중공업,17909130000
weekly,KOSPI200,foreign,buy,7,298040,효성중공업,16552011000
weekly,KOSPI200,foreign,buy,8,028260,삼성물산,13839188000
weekly,KOSPI200,foreign,buy,9,016360,삼성증권,9038091350
weekly,KOSPI200,foreign,buy,10,066970,엘앤에프,7145835300
weekly,KOSPI200,foreign,buy,11,207940,삼성바이오로직스,5238850000
weekly,KOSPI200,foreign,buy,12,006800,미래에셋증권,4736604650
weekly,KOSPI200,foreign,buy,13,078930,GS,4587820900
weekly,KOSPI200,foreign,buy,14,032640,LG유플러스,4297838890
weekly,KOSPI200,foreign,buy,15,010120,LS ELECTRIC,4197194500
weekly,KOSPI200,foreign,sell,1,000660,SK하이닉스,-671313692500
weekly,KOSPI200,foreign,sell,2,005380,현대차,-51608222000
weekly,KOSPI200,foreign,sell,3,034020,두산에너빌리티,-41757025850
weekly,KOSPI200,foreign,sell,4,272210,한화시스템,-40282703050
weekly,KOSPI200,foreign,sell,5,012450,한화에어로스페이스,-40182097500
weekly,KOSPI200,foreign,sell,6,001440,대한전선,-38137156550
weekly,KOSPI200,foreign,sell,7,079550,LIG디펜스앤에어로스페이스,-36934190500
weekly,KOSPI200,foreign,sell,8,006400,삼성SDI,-33260033000
weekly,KOSPI200,foreign,sell,9,000150,두산,-30074894500
weekly,KOSPI200,foreign,sell,10,047040,대우건설,-25367085215
weekly,KOSPI200,foreign,sell,11,010060,OCI홀딩스,-19309534950
weekly,KOSPI200,foreign,sell,12,047050,포스코인터내셔널,-16678794700
weekly,KOSPI200,foreign,sell,13,011070,LG이노텍,-14377108000
weekly,KOSPI200,foreign,sell,14,010140,삼성중공업,-13866745000
weekly,KOSPI200,foreign,sell,15,064350,현대로템,-12118016650
weekly,KOSPI200,institution,buy,1,005930,삼성전자,1138104847250
weekly,KOSPI200,institution,buy,2,000660,SK하이닉스,180949294500
weekly,KOSPI200,institution,buy,3,009150,삼성전기,129208756500
weekly,KOSPI200,institution,buy,4,402340,SK스퀘어,37715051500
weekly,KOSPI200,institution,buy,5,105560,KB금융,25229593550
weekly,KOSPI200,institution,buy,6,007660,이수페타시스,19729646200
weekly,KOSPI200,institution,buy,7,079550,LIG디펜스앤에어로스페이스,18319416000
weekly,KOSPI200,institution,buy,8,012450,한화에어로스페이스,18288421000
weekly,KOSPI200,institution,buy,9,028260,삼성물산,16005865500
weekly,KOSPI200,institution,buy,10,066570,LG전자,15900810800
weekly,KOSPI200,institution,buy,11,055550,신한지주,15867780500
weekly,KOSPI200,institution,buy,12,086790,하나금융지주,14143215600
weekly,KOSPI200,institution,buy,13,090430,아모레퍼시픽,14068062250
weekly,KOSPI200,institution,buy,14,034730,SK,13792305000
weekly,KOSPI200,institution,buy,15,047050,포스코인터내셔널,10866837700
weekly,KOSPI200,institution,sell,1,035420,NAVER,-39182850350
weekly,KOSPI200,institution,sell,2,005380,현대차,-31982320250
weekly,KOSPI200,institution,sell,3,373220,LG에너지솔루션,-27853337500
weekly,KOSPI200,institution,sell,4,006400,삼성SDI,-23175179500
weekly,KOSPI200,institution,sell,5,329180,HD현대중공업,-17758320250
weekly,KOSPI200,institution,sell,6,017670,SK텔레콤,-17527907300
weekly,KOSPI200,institution,sell,7,066970,엘앤에프,-16402926550
weekly,KOSPI200,institution,sell,8,034020,두산에너빌리티,-14342600900
weekly,KOSPI200,institution,sell,9,298040,효성중공업,-12655989500
weekly,KOSPI200,institution,sell,10,012330,현대모비스,-11465143750
weekly,KOSPI200,institution,sell,11,010060,OCI홀딩스,-11060866600
weekly,KOSPI200,institution,sell,12,000270,기아,-9145784650
weekly,KOSPI200,institution,sell,13,047040,대우건설,-8094646805
weekly,KOSPI200,institution,sell,14,042660,한화오션,-7726129600
weekly,KOSPI200,institution,sell,15,009830,한화솔루션,-7126056250
weekly,KOSDAQ150,foreign,buy,1,067310,하나마이크론,36830245350
weekly,KOSDAQ150,foreign,buy,2,036540,SFA반도체,17968495040
weekly,KOSDAQ150,foreign,buy,3,222800,심텍,15117086400
weekly,KOSDAQ150,foreign,buy,4,232140,와이씨,10998342470
weekly,KOSDAQ150,foreign,buy,5,226950,올릭스,10025321000
weekly,KOSDAQ150,foreign,buy,6,257720,실리콘투,9924681375
weekly,KOSDAQ150,foreign,buy,7,095610,테스,9618244200
weekly,KOSDAQ150,foreign,buy,8,089030,테크윙,8871517175
weekly,KOSDAQ150,foreign,buy,9,298380,에이비엘바이오,6339842750
weekly,KOSDAQ150,foreign,buy,10,214450,파마리서치,6101352250
weekly,KOSDAQ150,foreign,buy,11,036930,주성엔지니어링,5930469500
weekly,KOSDAQ150,foreign,buy,12,437730,삼현,5535539650
weekly,KOSDAQ150,foreign,buy,13,240810,원익IPS,5282963900
weekly,KOSDAQ150,foreign,buy,14,108490,로보티즈,4433714250
weekly,KOSDAQ150,foreign,buy,15,039030,이오테크닉스,4330842750
weekly,KOSDAQ150,foreign,sell,1,218410,RFHIC,-26429184450
weekly,KOSDAQ150,foreign,sell,2,319400,현대무벡스,-17406245075
weekly,KOSDAQ150,foreign,sell,3,131970,두산테스나,-12502590050
weekly,KOSDAQ150,foreign,sell,4,032820,우리기술,-11893481685
weekly,KOSDAQ150,foreign,sell,5,028300,HLB,-8295398100
weekly,KOSDAQ150,foreign,sell,6,083650,비에이치아이,-5413506750
weekly,KOSDAQ150,foreign,sell,7,050890,쏠리드,-5307503980
weekly,KOSDAQ150,foreign,sell,8,420770,기가비스,-5282926150
weekly,KOSDAQ150,foreign,sell,9,089970,브이엠,-4323095450
weekly,KOSDAQ150,foreign,sell,10,043260,성호전자,-3873864000
weekly,KOSDAQ150,foreign,sell,11,247540,에코프로비엠,-3709034600
weekly,KOSDAQ150,foreign,sell,12,183300,코미코,-3493489375
weekly,KOSDAQ150,foreign,sell,13,030530,원익홀딩스,-3420943775
weekly,KOSDAQ150,foreign,sell,14,032500,케이엠더블유,-3378648145
weekly,KOSDAQ150,foreign,sell,15,078600,대주전자재료,-3212715150
weekly,KOSDAQ150,institution,buy,1,067310,하나마이크론,9642941350
weekly,KOSDAQ150,institution,buy,2,095340,ISC,8365916300
weekly,KOSDAQ150,institution,buy,3,240810,원익IPS,7771950200
weekly,KOSDAQ150,institution,buy,4,131970,두산테스나,4791265000
weekly,KOSDAQ150,institution,buy,5,039030,이오테크닉스,3516056000
weekly,KOSDAQ150,institution,buy,6,183300,코미코,2918929850
weekly,KOSDAQ150,institution,buy,7,403870,HPSP,2853683550
weekly,KOSDAQ150,institution,buy,8,263750,펄어비스,2397877000
weekly,KOSDAQ150,institution,buy,9,417200,LS머트리얼즈,2257122005
weekly,KOSDAQ150,institution,buy,10,420770,기가비스,2250466600
weekly,KOSDAQ150,institution,buy,11,196170,알테오젠,2141564000
weekly,KOSDAQ150,institution,buy,12,036810,에프에스티,2047166575
weekly,KOSDAQ150,institution,buy,13,131290,티에스이,1898063500
weekly,KOSDAQ150,institution,buy,14,053800,안랩,1781915800
weekly,KOSDAQ150,institution,buy,15,328130,루닛,1721802505
weekly,KOSDAQ150,institution,sell,1,257720,실리콘투,-12900099125
weekly,KOSDAQ150,institution,sell,2,086520,에코프로,-12384025900
weekly,KOSDAQ150,institution,sell,3,475830,오름테라퓨틱,-8654143550
weekly,KOSDAQ150,institution,sell,4,226950,올릭스,-7478333900
weekly,KOSDAQ150,institution,sell,5,108490,로보티즈,-7169804750
weekly,KOSDAQ150,institution,sell,6,083650,비에이치아이,-6425904400
weekly,KOSDAQ150,institution,sell,7,214450,파마리서치,-6297710000
weekly,KOSDAQ150,institution,sell,8,058470,리노공업,-5706860000
weekly,KOSDAQ150,institution,sell,9,298380,에이비엘바이오,-4752974850
weekly,KOSDAQ150,institution,sell,10,031980,피에스케이홀딩스,-4300402950
weekly,KOSDAQ150,institution,sell,11,058610,에스피지,-4028085800
weekly,KOSDAQ150,institution,sell,12,043260,성호전자,-3989366050
weekly,KOSDAQ150,institution,sell,13,145020,휴젤,-3490511750
weekly,KOSDAQ150,institution,sell,14,347850,디앤디파마텍,-3322034300
weekly,KOSDAQ150,institution,sell,15,247540,에코프로비엠,-3257648400
recent2,KOSPI200,foreign,buy,1,005930,삼성전자,682487914000
recent2,KOSPI200,foreign,buy,2,000660,SK하이닉스,669456559000
recent2,KOSPI200,foreign,buy,3,402340,SK스퀘어,224817666000
recent2,KOSPI200,foreign,buy,4,009150,삼성전기,99743072000
recent2,KOSPI200,foreign,buy,5,010120,LS ELECTRIC,54137064750
recent2,KOSPI200,foreign,buy,6,298040,효성중공업,37883036000
recent2,KOSPI200,foreign,buy,7,042700,한미반도체,33558569000
recent2,KOSPI200,foreign,buy,8,062040,산일전기,8818970500
recent2,KOSPI200,foreign,buy,9,018260,삼성에스디에스,8171130500
recent2,KOSPI200,foreign,buy,10,004170,신세계,7156837500
recent2,KOSPI200,foreign,buy,11,278470,에이피알,6611542750
recent2,KOSPI200,foreign,buy,12,207940,삼성바이오로직스,5098737500
recent2,KOSPI200,foreign,buy,13,443060,HD현대마린솔루션,4490774500
recent2,KOSPI200,foreign,buy,14,011070,LG이노텍,3875965000
recent2,KOSPI200,foreign,buy,15,161890,한국콜마,3209400450
recent2,KOSPI200,foreign,sell,1,034020,두산에너빌리티,-98019722750
recent2,KOSPI200,foreign,sell,2,000150,두산,-79518754500
recent2,KOSPI200,foreign,sell,3,006400,삼성SDI,-66246599500
recent2,KOSPI200,foreign,sell,4,005380,현대차,-66231871000
recent2,KOSPI200,foreign,sell,5,272210,한화시스템,-49498722550
recent2,KOSPI200,foreign,sell,6,012450,한화에어로스페이스,-48658108500
recent2,KOSPI200,foreign,sell,7,035420,NAVER,-37594910750
recent2,KOSPI200,foreign,sell,8,010140,삼성중공업,-34797998075
recent2,KOSPI200,foreign,sell,9,086790,하나금융지주,-28381200650
recent2,KOSPI200,foreign,sell,10,047050,포스코인터내셔널,-26522936150
recent2,KOSPI200,foreign,sell,11,047040,대우건설,-24989393240
recent2,KOSPI200,foreign,sell,12,010060,OCI홀딩스,-24176393200
recent2,KOSPI200,foreign,sell,13,105560,KB금융,-23427173100
recent2,KOSPI200,foreign,sell,14,005490,POSCO홀딩스,-22179331000
recent2,KOSPI200,foreign,sell,15,055550,신한지주,-22034004850
recent2,KOSPI200,institution,buy,1,005930,삼성전자,1853519661250
recent2,KOSPI200,institution,buy,2,000660,SK하이닉스,474653498500
recent2,KOSPI200,institution,buy,3,009150,삼성전기,318194293500
recent2,KOSPI200,institution,buy,4,402340,SK스퀘어,79924465500
recent2,KOSPI200,institution,buy,5,028050,삼성E&A,45750688300
recent2,KOSPI200,institution,buy,6,105560,KB금융,28797365400
recent2,KOSPI200,institution,buy,7,272210,한화시스템,28654918700
recent2,KOSPI200,institution,buy,8,079550,LIG디펜스앤에어로스페이스,28234780500
recent2,KOSPI200,institution,buy,9,055550,신한지주,26072883400
recent2,KOSPI200,institution,buy,10,000150,두산,22896520500
recent2,KOSPI200,institution,buy,11,066570,LG전자,21808195300
recent2,KOSPI200,institution,buy,12,012450,한화에어로스페이스,21746717000
recent2,KOSPI200,institution,buy,13,316140,우리금융지주,21517442900
recent2,KOSPI200,institution,buy,14,483650,달바글로벌,20892119850
recent2,KOSPI200,institution,buy,15,028260,삼성물산,20422520500
recent2,KOSPI200,institution,sell,1,035420,NAVER,-99390559550
recent2,KOSPI200,institution,sell,2,034020,두산에너빌리티,-37845480150
recent2,KOSPI200,institution,sell,3,373220,LG에너지솔루션,-27601382000
recent2,KOSPI200,institution,sell,4,329180,HD현대중공업,-25074369750
recent2,KOSPI200,institution,sell,5,066970,엘앤에프,-21382232750
recent2,KOSPI200,institution,sell,6,298040,효성중공업,-18197649000
recent2,KOSPI200,institution,sell,7,017670,SK텔레콤,-16050948100
recent2,KOSPI200,institution,sell,8,096770,SK이노베이션,-15192313200
recent2,KOSPI200,institution,sell,9,005380,현대차,-14857498250
recent2,KOSPI200,institution,sell,10,006400,삼성SDI,-13570247500
recent2,KOSPI200,institution,sell,11,023530,롯데쇼핑,-11986670550
recent2,KOSPI200,institution,sell,12,010060,OCI홀딩스,-10116793350
recent2,KOSPI200,institution,sell,13,007660,이수페타시스,-10102949050
recent2,KOSPI200,institution,sell,14,052690,한전기술,-9771134750
recent2,KOSPI200,institution,sell,15,010140,삼성중공업,-9017143200
recent2,KOSDAQ150,foreign,buy,1,067310,하나마이크론,35232022525
recent2,KOSDAQ150,foreign,buy,2,036540,SFA반도체,21287244315
recent2,KOSDAQ150,foreign,buy,3,214450,파마리서치,13594029000
