period_type,direction,rank,universe,code,name,start_date,end_date,start_open,end_close,return_pct
recent2,down,3,KOSDAQ150,293490,카카오게임즈,2026-09-18,2026-09-21,9800.0,9000.0,-8.163265306122447
recent2,down,4,KOSDAQ150,298380,에이비엘바이오,2026-09-18,2026-09-21,57700.0,53600.0,-7.105719237435004
recent2,down,5,KOSDAQ150,178320,서진시스템,2026-09-18,2026-09-21,35000.0,32800.0,-6.285714285714283
recent2,down,6,KOSDAQ150,225570,넥슨게임즈,2026-09-18,2026-09-21,11500.0,10860.0,-5.565217391304344
recent2,down,7,KOSDAQ150,226950,올릭스,2026-09-18,2026-09-21,113200.0,107000.0,-5.477031802120136
recent2,down,8,KOSDAQ150,0009K0,에임드바이오,2026-09-18,2026-09-21,22650.0,21450.0,-5.298013245033117
recent2,down,9,KOSDAQ150,278280,천보,2026-09-18,2026-09-21,37700.0,35950.0,-4.641909814323608
recent2,down,10,KOSDAQ150,083650,비에이치아이,2026-09-18,2026-09-21,65200.0,62200.0,-4.601226993865026
recent2,down,11,KOSDAQ150,099320,쎄트렉아이,2026-09-18,2026-09-21,79200.0,76100.0,-3.9141414141414144
recent2,down,12,KOSDAQ150,086520,에코프로,2026-09-18,2026-09-21,83500.0,80300.0,-3.8323353293413187
recent2,down,13,KOSDAQ150,039200,오스코텍,2026-09-18,2026-09-21,37600.0,36250.0,-3.590425531914898
recent2,down,14,KOSDAQ150,018290,브이티,2026-09-18,2026-09-21,11840.0,11420.0,-3.5472972972973027
recent2,down,15,KOSDAQ150,171090,선익시스템,2026-09-18,2026-09-21,72700.0,70200.0,-3.438789546079779
