universe,code,name,score,stage,strong_reason,pullback_quality,current_close,ma60,slope20_pct,distance_pct,distance_change_3d,pullback_from_high_pct,cross_date,last_cross_date,days_since_cross,held3,turnover_ratio,weekly_return_pct,foreign_week_eok,institution_week_eok,foreign_recent2_eok,institution_recent2_eok,foreign_week_value,institution_week_value,foreign_recent2_value,institution_recent2_value
KOSDAQ150,032500,케이엠더블유,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,19650.0,15969.67,-21.42,23.05,20.81,0.0,2026-09-15,2026-09-15,3,Y,1.91,21.37,-21.3,8.8,-3.7,4.0,-2130527260,876311745,-368632130,399387995
KOSDAQ150,251970,펌텍코리아,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,61700.0,49706.67,17.62,24.13,3.47,-1.12,,,,Y,1.32,6.01,-110.2,147.0,-43.3,55.9,-11018131550,14697620700,-4333663600,5586191850
KOSPI200,375500,DL이앤씨,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,86800.0,69101.67,2.14,25.61,-4.44,-1.92,,,,Y,1.28,3.7,-112.6,339.0,-18.7,108.5,-11261408000,33903654900,-1866982000,10849533450
KOSDAQ150,295310,에이치브이엠,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,60400.0,47431.67,-22.74,27.34,16.02,-2.11,,,,Y,2.27,22.02,-81.1,71.5,-64.8,61.6,-8107527750,7145077150,-6476081750,6164338250
KOSDAQ150,043260,성호전자,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,26400.0,19142.67,-29.04,37.91,51.68,0.0,2026-09-17,2026-09-17,1,N,2.94,56.86,-32.1,71.3,-86.8,76.9,-3210576550,7129929350,-8683963875,7688674640
KOSPI200,000210,DL,70,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,54900.0,48766.67,1.07,12.58,2.43,-1.96,,,,Y,0.94,4.17,-58.4,77.9,-31.3,34.1,-5838482300,7789374100,-3134629150,3407935250
KOSDAQ150,100790,미래에셋벤처투자,70,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,17670.0,15584.5,-30.48,13.38,11.14,0.0,2026-09-15,2026-09-15,3,Y,1.15,12.19,-21.7,0.5,-22.6,1.3,-2171910655,53959515,-2261497140,127320765
KOSPI200,062040,산일전기,70,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,211000.0,184810.0,-6.94,14.17,12.17,0.0,,,,Y,1.0,8.37,346.6,-24.0,186.4,117.4,34662675400,-2401158000,18635650950,11742562600
KOSPI200,007340,DN오토모티브,70,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,49600.0,43259.17,3.82,14.66,8.35,0.0,,,,Y,0.72,8.65,-21.6,34.4,-20.4,31.0,-2161398075,3435172475,-2040277500,3101162950
KOSDAQ150,183300,코미코,70,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,30850.0,26814.37,-15.71,15.05,18.32,0.0,2026-09-16,2026-09-16,2,Y,1.0,17.52,-3.4,86.6,7.4,74.7,-340120550,8661041350,741093100,7467439625
KOSDAQ150,025980,아난티,70,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,5160.0,4388.08,3.53,17.59,-1.94,-5.67,,,,Y,0.36,3.2,0.8,1.3,-3.2,0.2,77407100,134099075,-315156590,24533575
KOSDAQ150,253590,네오셈,70,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,12270.0,10355.33,-6.29,18.49,7.26,-1.05,,,,Y,0.99,10.74,8.9,-0.9,5.6,0.0,894916600,-87926030,556636685,2738800
KOSPI200,128940,한미약품,70,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,505000.0,423925.0,3.94,19.12,0.67,-1.94,,,,Y,0.7,7.79,-688.0,1248.8,-270.1,399.3,-68802344750,124875145750,-27010970500,39933305500
KOSDAQ150,204270,제이앤티씨,65,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,23700.0,17581.17,4.01,34.8,11.18,0.0,,,,Y,1.13,7.97,-33.7,-3.1,-19.9,0.2,-3369945775,-310592000,-1994226575,22125550
