recommendation_rank,recommendation_basis,universe,name,score,weekly_return_pct,signal_return_pct,distance_pct,distance_change_3d,cross_date,turnover_ratio,foreign_flow_eok,institution_flow_eok,code,stage,pullback_quality,strong_reason,flow_period,flow_start_date
25,최근 3거래일 수급 기준 · 강한 돌파 추세,KOSPI200,DB하이텍,75,-0.83,5.19,26.91,6.84,,1.04,61.6,32.0,000990,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,recent3,2026-09-21
26,최근 3거래일 수급 기준 · 강한 돌파 추세,KOSDAQ150,네오셈,75,3.49,10.53,30.41,11.92,,2.14,-12.2,19.6,253590,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,recent3,2026-09-21
27,최근 3거래일 수급 기준 · 강한 돌파 추세,KOSDAQ150,심텍,75,13.53,18.29,31.16,19.74,,1.01,540.1,20.9,222800,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,recent3,2026-09-21
28,최근 3거래일 수급 기준 · 강한 돌파 추세,KOSDAQ150,에프에스티,75,3.48,14.26,32.02,16.88,,1.37,-15.5,29.1,036810,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,recent3,2026-09-21
29,최근 3거래일 수급 기준 · 강한 돌파 추세,KOSDAQ150,에이치브이엠,75,6.48,6.48,33.96,6.61,,2.32,-26.0,46.4,295310,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,recent3,2026-09-21
30,최근 3거래일 수급 기준 · 강한 돌파 추세,KOSDAQ150,SFA반도체,75,-0.38,16.8,74.79,20.2,,2.13,523.4,-293.9,036540,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,recent3,2026-09-21
31,최근 3거래일 수급 기준 · 강한 돌파 추세,KOSDAQ150,테스,70,8.22,17.23,8.38,16.64,2026-09-23,0.57,301.9,-7.4,095610,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,recent3,2026-09-21
32,최근 3거래일 수급 기준 · 강한 돌파 추세,KOSDAQ150,큐리옥스바이오시스템즈,70,2.4,8.4,10.36,6.16,,0.62,19.8,-2.7,445680,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,recent3,2026-09-21
33,최근 3거래일 수급 기준 · 강한 돌파 추세,KOSDAQ150,아이쓰리시스템,70,5.05,10.11,10.7,9.57,,1.49,-6.1,-0.4,214430,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,recent3,2026-09-21
34,최근 3거래일 수급 기준 · 강한 돌파 추세,KOSPI200,S-Oil,70,1.69,4.54,11.75,2.67,,0.81,336.2,-75.3,010950,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,recent3,2026-09-21
35,최근 3거래일 수급 기준 · 강한 돌파 추세,KOSDAQ150,티씨케이,70,5.2,6.59,23.81,5.66,,0.65,-3.3,55.1,064760,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,recent3,2026-09-21
36,최근 3거래일 수급 기준 · 강한 돌파 추세,KOSDAQ150,ISC,70,6.57,12.73,33.16,15.7,,0.92,-112.5,251.6,095340,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,recent3,2026-09-21
37,최근 3거래일 수급 기준 · 강한 돌파 추세,KOSDAQ150,원익홀딩스,70,3.7,7.07,41.32,6.4,,0.98,30.3,-4.0,030530,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,recent3,2026-09-21
